Temp,Replicate,Chamber,time_month,weight_g,RMR_mass_specific,RMR_absolute,ln_weight,ln_RMR_minus_MS,ln_RMR_minus_absolute,RMR_mass_corrected,Alpha,Breakpoint,LLO_at_MMR,ln_residual
15,2,4,6 month,124,92.66354102,11.49027909,4.820281566,4.528975094,2.441501381,118.4122727,17.44883394,38.73717349,21.13855841,-0.090035838
15,2,5,6 month,221,96.67595571,21.36538621,5.398162702,4.571364723,3.061772146,135.4286727,14.00318314,33.45224898,18.76880913,0.044179103
15,2,6,6 month,176.8,89.8043567,15.87741027,5.17501915,4.49763349,2.764897361,121.4173813,22.88984728,38.73717318,25.58473401,-0.06500964
20,1,1,0 month,6,173.1699532,1.039019719,1.791759469,5.154273501,0.038277691,139.4394538,22.68162049,27.71401347,24.72432302,-0.073478302
20,1,2,0 month,7,184.4983685,1.29148858,1.945910149,5.217640621,0.255795491,152.7176171,22.75279547,25.00325303,25.28491234,0.017466375
20,1,3,0 month,6.3,207.8050813,1.309172012,1.840549633,5.336600531,0.269394885,168.7960117,27.12370468,17.36408821,27.65819697,0.117577289
20,1,4,0 month,3.8,188.1843911,0.715100686,1.335001067,5.237422286,-0.335331926,139.6332742,20.5100636,24.7469615,19.45820919,-0.072043595
20,1,5,0 month,4.6,192.2872276,0.884521247,1.526056303,5.258990231,-0.122708744,147.6413982,24.71541471,23.00909206,24.25394205,-0.016295868
20,1,6,0 month,6.7,181.1750539,1.213872861,1.902107526,5.199463712,0.19381596,148.7955176,34.73139259,20.24090344,106.4116183,-0.008546823
20,1,7,0 month,4.9,216.6486382,1.061578327,1.589235205,5.378276862,0.059756789,168.238397,24.852,74.027,25.203,0.114293469
20,1,8,0 month,6.8,225.6443491,1.534381574,1.916922612,5.418960083,0.428127416,185.8093726,28.71423552,29.39896588,28.92422309,0.213599967
20,2,1,0 month,6.6,156.6520203,1.033903334,1.887069649,5.054026914,0.033341284,128.3093853,19.89177894,27.5358684,20.99936708,-0.156673897
20,2,2,0 month,4.1,145.2473312,0.595514058,1.410986974,4.978438022,-0.518330283,109.24977,,,,-0.31743398
20,2,3,0 month,4.9,187.5272771,0.918883658,1.589235205,5.233924313,-0.084595761,145.6242179,24.91407999,31.67279024,24.59936001,-0.030059081
20,2,4,0 month,5.2,202.0741379,1.050785517,1.648658626,5.308634649,0.049537996,158.5986159,26.96629679,28.95395445,25.95697728,0.055282106
20,2,5,0 month,5.3,182.4715368,0.967099145,1.667706821,5.206594198,-0.03345426,143.7025815,34.05766315,49.34969077,34.10504602,-0.043350624
20,2,6,0 month,5.9,136.9444844,0.807972458,1.774952351,4.919575621,-0.213227307,109.9388311,20.71611514,28.95395422,21.70180393,-0.311182976
20,2,7,0 month,7,158.4565963,1.109196174,1.945910149,5.065480715,0.103635585,131.1616682,20.21700042,29.95225402,21.01911027,-0.134693531
20,2,8,0 month,8.7,196.9538788,1.713498745,2.163323026,5.282969583,0.53853733,169.4972062,28.59066741,31.12435696,29.90449225,0.121690501
20,1,1,3 month,17.4,171.6852507,2.987323361,2.856470206,5.145662862,1.09437779,167.2689621,24.61652054,24.92043615,24.13070749,0.10838781
20,1,2,3 month,26.7,135.1830431,3.609387251,3.284663565,4.906629735,1.283538021,142.1974453,19.05393458,57.75259175,21.62874754,-0.054041525
20,1,3,3 month,32.3,163.2818283,5.274003054,3.47506723,5.095477716,1.662789667,177.7088947,24.44559986,26.24514391,24.44802072,0.168869671
20,1,4,3 month,22.4,146.3882167,3.279096053,3.109060959,4.986262111,1.187567791,149.2191546,30.1835837,52.15166042,32.45063584,-0.005824455
20,1,5,3 month,38.6,169.7568187,6.5526132,3.653252276,5.134366934,1.879863932,190.7437932,26.36740601,23.11189786,25.86473027,0.239636195
20,1,6,3 month,20,147.5177659,2.950355319,2.995732274,4.993948616,1.08192561,147.3508874,27.1575749,52.15166042,31.36604651,-0.018412453
20,1,7,3 month,15.2,176.4278697,2.681703619,2.721295428,5.172912122,0.986452271,167.7804103,22.34891358,42.58487855,23.58954897,0.111454303
20,1,8,3 month,21.7,162.372918,3.52349232,3.077312261,5.089895653,1.259452634,164.5750317,27.79162133,74.55552238,30.17493448,0.092129244
20,2,1,3 month,18.4,168.6946288,3.103981171,2.912350665,5.128090151,1.132685536,166.0074984,23.00553223,63.79761588,28.42488694,0.100812113
20,2,2,3 month,26.8,163.683636,4.386721444,3.288401888,5.097935516,1.478582124,172.2921345,23.70075243,42.33921978,28.50046537,0.137933042
20,2,3,3 month,16.4,147.7588071,2.423244437,2.797281335,4.995581263,0.885107319,142.4408265,18.60191523,72.21232758,21.15250062,-0.052282678
20,2,4,3 month,27.7,145.5728527,4.032368021,3.321432413,4.980676667,1.394353802,154.1375073,20.31172236,48.83039165,22.71417064,0.026583354
20,2,5,3 month,28.5,147.3273419,4.198829243,3.349904087,4.992656926,1.434805735,156.7922682,20.39436506,58.49481972,26.75977926,0.043657196
20,2,6,3 month,16.9,146.0853196,2.468841902,2.827313622,4.984190832,0.903749175,141.5866658,12.43597583,48.83039165,,-0.058300333
20,2,7,3 month,26.8,165.7530529,4.442181817,3.288401888,5.110499047,1.491145656,174.4703868,22.63738685,39.48270511,24.60894757,0.150496573
20,2,8,3 month,10.8,187.6537647,2.026660659,2.379546134,5.234598588,0.706389443,167.8665611,23.33085157,16.76240544,22.16688215,0.112001819
20,1,1,6 month,96.3,101.2583054,9.751174809,4.567468319,4.617674731,2.277387771,134.0058692,14.33787371,32.80819505,23.36468263,-0.113502758
20,1,2,6 month,104.4,94.97286681,9.915167295,4.648229675,4.553591238,2.294065635,127.5178544,20.09187413,29.87019216,28.80141819,-0.163138045
20,1,3,6 month,94.1,133.3778557,12.55085622,4.544358047,4.893186121,2.529788888,175.784401,23.48487944,51.8778173,29.61905024,0.157874203
20,1,4,6 month,118.4,87.32214492,10.33894196,4.774068722,4.469604095,2.335917539,119.9163523,13.0087894,50.90218899,22.85681909,-0.224612582
20,1,5,6 month,96.1,133.8799201,12.86586032,4.565389316,4.896943279,2.554577316,177.1115935,23.17600241,24.10050436,25.26596344,0.165393856
20,1,6,6 month,141.3,117.3607354,16.58307191,4.95088529,4.7652524,2.808382411,166.3498176,21.55610587,50.78951648,30.49194485,0.102668207
20,2,1,6 month,161.2,97.43664727,15.70678754,5.08264583,4.579202395,2.754092946,141.4049893,16.01525792,51.78645243,,-0.059809838
20,2,2,6 month,,,,,,,,,,,
20,2,3,6 month,108.1,85.99861267,9.29645003,4.683056725,4.454331164,2.22963261,116.1904154,16.423,16.049,18.901,-0.256167559
20,2,4,6 month,113.9,80.18273426,9.132813432,4.73532087,4.384308208,2.2118738,109.3509771,16.98819965,29.39289211,NA,-0.31684046
20,2,5,6 month,90.5,131.8710328,11.93432847,4.505349851,4.881824421,2.479418993,172.589179,19.695,56.629,25.405,0.139533937
20,2,6,6 month,116.6,108.6509615,12.66870211,4.758749274,4.688140556,2.539134551,148.7978562,23.56540429,29.39289195,25.82583442,-0.008816771
